351-01,,,,36,50,81-99,IL,6393,26,77,104,-28,8,30,40,85,113
351-02,,,,103,105,14-16,IL,43,,17,83,25,88,103,102,106,113
351-03,,,,36,50,81-99,IL,6343,27,76,106,-36,8,29,14,85,113
351-04,,,,105,107,12-14,IL,29,,22,89,17,85,105,105,107,113
351-05,,,,36,50,81-99,IL,5877,29,77,113,-33,7,25,40,84,113
351-06,,,,107,109,10-12,IL,21,,5,52,61,103,107,107,108,113
351-07,,,,36,50,81-99,IL,6273,23,77,105,-31,8,26,40,85,113
351-08,,,,109,111,8-10,IL,16,,13,82,30,96,109,109,110,113
351-09,,,,36,50,81-99,IL,6440,31,77,107,-28,8,25,37,85,113
351-10,,,,36,50,81-99,IL,6241,30,77,106,-28,8,24,43,85,113
351-12,,,,36,50,81-99,IL,6561,24,76,105,-30,15,30,45,91,113
351-14,,,,36,50,81-99,IL,5994,26,75,107,-31,17,41,43,92,113
351-15,,,,,,,,1,1,1,1,111,111,111,112,112,112
351-16,,,,36,50,81-99,IL,6438,20,75,106,-33,15,29,44,91,113
351-18,,,,36,50,81-99,IL,6573,18,76,108,-29,15,31,44,91,113
351-20,,,,36,50,81-99,IL,5094,23,74,108,-39,16,40,46,91,113
351-22,,,,36,50,81-99,IL,5577,22,76,108,-32,15,63,45,92,113
351-24,,,,36,50,81-99,IL,4884,27,75,106,-29,14,43,49,90,113
351-26,,,,51,?,72-84,IL,5062,,73,106,-31,19,46,35,92,113
351-28,,52,53,52,53,78-83,IL,5154,23,76,109,-38,11,44,52,87,113
351-30,,54,55,54,55,76-81,IL,3337,19,70,106,-29,24,45,58,94,113
351-32,,56,57,56,57,74-79,IL,4058,25,75,110,-35,12,55,57,88,113
351-34,,58,60,58,60,71-77,IL,2979,22,70,106,-50,22,50,0,93,113
351-35,,,,,,,,1,1,1,1,112,112,112,113,113,113
351-36,,61,62,61,62,69-74,IL,1720,18,61,107,-27,36,56,62,97,113
